name;artist;album;release_date;duration_ms;popularity;genres
Otra Vez;LA ÉLITE, Pokito Paranoiko;Sorry Not Sorry;2019-04-10;226000;17;[]
Teknocity;Parkineos, Amygdala, Errä;Teknocity;2023-08-18;260592;50;['techno', 'hardcore techno', 'hardcore', 'tekno']
Acid Shoes;Amygdala;ACID SHOES;2023-01-18;324916;33;['techno', 'tekno']
FUNKORE;Amygdala;FUNKORE;2023-06-01;228816;31;['techno', 'tekno']
Hippie Gabber;Amygdala, Errä;ACID SHOES;2023-01-18;259971;26;['techno', 'tekno']
Bombo;Amygdala;Bombo;2021-09-14;289562;32;['techno', 'tekno']
Sad - I'm blue remix;Pau By Chance, Octopvs To The Party;Sad (I'm blue remix);2022-05-05;132151;27;['hyperpop']
Txorigorri;Malakias, Kalipotxo;Txorigorri;2023-05-18;209333;22;['tekno']
INTOXICADA;Nerve Agent, Rodol VX;FUERA DE AGUST0;2023-10-06;143503;11;['tekno']
Donde Stas?? - Remix;Parkineos, Rakky Ripper;Bitter Glitter (Remix);2022-01-15;186322;0;['tekno', 'hardcore techno', 'hyperpop', 'hardcore', 'neoperreo', 'techno']
APARTA;Amygdala, Iced Coffeeboy;APARTA;2023-10-06;187692;29;['techno', 'tekno']
La Rave;Loüs;La Rave;2020-07-06;315488;34;['techno']
APARTA;Amygdala, Iced Coffeeboy;APARTA;2023-10-06;187692;29;['techno', 'tekno']
FINDE;Nerve Agent, Rodol VX, KxxL;FINDE;2024-01-19;162607;17;['tekno']
KLF;VVV [Trippin'you];Vaciador;2023-11-30;223538;23;['post-punk', 'darkwave', 'cold wave']
Lluvias de marzo_remix x [Plasaporros];VVV [Trippin'you], Plasaporros;Turboviolencia_remixes;2022-11-10;182195;22;['post-punk', 'darkwave', 'cold wave', 'tekno']
Mediocres y agresivos;VVV [Trippin'you];Vaciador;2023-11-30;209951;22;['post-punk', 'darkwave', 'cold wave']
Rush;VVV [Trippin'you];Vaciador;2023-11-30;223457;22;['post-punk', 'darkwave', 'cold wave']
Ataque de Pánico en la Sierra;VVV [Trippin'you];Escama;2020-02-29;195125;24;['post-punk', 'darkwave', 'cold wave']
Destrucción;VVV [Trippin'you];Escama;2020-02-29;238333;29;['post-punk', 'darkwave', 'cold wave']
Albacete Rural Crew;Nerve Agent, Rodol VX;12 Atentados;2022-01-28;161750;33;['tekno']
Putos Vecinos;Nerve Agent, Plasaporros, Robzzz;12 Atentados;2022-01-28;231167;33;['tekno']
ACTION MAN;Nerve Agent, Rodol VX;MANUAL DEL MANGURRIÁN;2024-09-13;145880;30;['tekno']
Hoy Estoy Feliz;Nerve Agent, Rodol VX, KxxL;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;143823;30;['tekno']
NOTESE RECORDAR;Nerve Agent, Rodol VX, VVV [Trippin'you];MANUAL DEL MANGURRIÁN;2024-09-13;196456;29;['post-punk', 'darkwave', 'cold wave', 'tekno']
Frank Cuesta;LA ÉLITE, Nerve Agent;Escaleras Al Cielo;2024-05-10;136474;26;['tekno']
Coche Bomba;Nerve Agent, Rodol VX, Kiliki;12 Atentados;2022-01-28;223878;24;['tekno']
Ansiedad, Prisión;Nerve Agent, Rodol VX;12 Atentados;2022-01-28;230807;13;['tekno']
FP (formación pafrontear);Nerve Agent, Rodol VX;MANUAL DEL MANGURRIÁN;2024-09-13;123472;20;['tekno']
BACINES;Nerve Agent, Rodol VX;MANUAL DEL MANGURRIÁN;2024-09-13;143812;27;['tekno']
FINDE;Nerve Agent, Rodol VX, KxxL;MANUAL DEL MANGURRIÁN;2024-09-13;162609;26;['tekno']
PUTEROS;Nerve Agent, Rodol VX;MANUAL DEL MANGURRIÁN;2024-09-13;159943;24;['tekno']
ESPABILA;Nerve Agent, Rodol VX;MANUAL DEL MANGURRIÁN;2024-09-13;148071;24;['tekno']
zapatero_hijas_typebeat.wav;Nerve Agent, Rodol VX;MANUAL DEL MANGURRIÁN;2024-09-13;138726;25;['tekno']
SADOLIO;Nerve Agent, Rodol VX;MANUAL DEL MANGURRIÁN;2024-09-13;169624;20;['tekno']
ATRACO A FRÍAS;Nerve Agent, Rodol VX;MANUAL DEL MANGURRIÁN;2024-09-13;180187;23;['tekno']
Gilipollas;Nerve Agent, Rodol VX;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;146090;18;['tekno']
Arriba La Golfería;Nerve Agent, Rodol VX;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;168983;17;['tekno']
Jugándome la Vida;Nerve Agent, Rodol VX;Dejad Ke los Niños Se Acerquen a Nerve Agent;2023-02-17;136400;14;['tekno']
Plan de Pueblo;Rodol VX, Nerve Agent;Sabotaje;2020-06-25;251020;19;['tekno']
LUZ ROJA;Nerve Agent, Rodol VX;FUERA DE AGUST0;2023-10-06;176624;17;['tekno']
R.E.M;Nerve Agent, Rodol VX;FUERA DE AGUST0;2023-10-06;138874;17;['tekno']
VENDAV4L;Nerve Agent, Rodol VX;FUERA DE AGUST0;2023-10-06;153000;15;['tekno']
3STRAGOS;Nerve Agent, Rodol VX;FUERA DE AGUST0;2023-10-06;191000;15;['tekno']
Lo Que Escuchas Antes De Morir, Pt. 2;Nerve Agent, Rodol VX;FUERA DE AGUST0;2023-10-06;156500;9;['tekno']
