name;artist;album;release_date;duration_ms;popularity;genres
The Beginning of the End;Headache;The Head Hurts but the Heart Knows the Truth;2023-05-31;265260;;['spoken word']
That Thing with the Rabbit;Headache;The Head Hurts but the Heart Knows the Truth;2023-05-31;237740;;['spoken word']
The Pavement is my Pillow Talk;Headache;The Head Hurts but the Heart Knows the Truth;2023-05-31;174735;;['spoken word']
Business Opportunities;Headache;The Head Hurts but the Heart Knows the Truth;2023-05-31;308500;;['spoken word']
Truisms 4 Dummies;Headache;The Head Hurts but the Heart Knows the Truth;2023-05-31;241500;;['spoken word']
Bucket Listener;Headache;The Head Hurts but the Heart Knows the Truth;2023-05-31;188721;;['spoken word']
Mission Impossible III;Headache;The Head Hurts but the Heart Knows the Truth;2023-05-31;208500;;['spoken word']
The Party that Never Ends;Headache;The Head Hurts but the Heart Knows the Truth;2023-05-31;213500;;['spoken word']
