name;artist;album;release_date;duration_ms;popularity;genres
Intro;LA ÉLITE;Sorry Not Sorry;2019-04-10;241333;;['indie punk']
Niño Rata;LA ÉLITE;Sorry Not Sorry;2019-04-10;171789;;['indie punk']
Neo Hippie;LA ÉLITE;Sorry Not Sorry;2019-04-10;104842;;['indie punk']
Siempre Sale Mal;LA ÉLITE;Sorry Not Sorry;2019-04-10;154105;;['indie punk']
Otra Vez;LA ÉLITE, Pokito Paranoiko;Sorry Not Sorry;2019-04-10;226000;;['indie punk']
Se Fijan en Mí;LA ÉLITE;Sorry Not Sorry;2019-04-10;192000;;['indie punk']
Pigs Don't Cry;LA ÉLITE;Sorry Not Sorry;2019-04-10;101368;;['indie punk']
Vida de 1€;LA ÉLITE;Sorry Not Sorry;2019-04-10;161828;;['indie punk']
Dervi Variant;LA ÉLITE, Yudi Saint X;Sorry Not Sorry;2019-04-10;192000;;['indie punk']
