name;artist;album;release_date;duration_ms;popularity;genres
На Дне;Molchat Doma;Этажи;2018-09-07;247408;;['post-punk', 'darkwave', 'cold wave']
Танцевать;Molchat Doma;Этажи;2018-09-07;202845;;['post-punk', 'darkwave', 'cold wave']
Фильмы;Molchat Doma;Этажи;2018-09-07;257290;;['post-punk', 'darkwave', 'cold wave']
Волны;Molchat Doma;Этажи;2018-09-07;261057;;['post-punk', 'darkwave', 'cold wave']
Тоска;Molchat Doma;Этажи;2018-09-07;189003;;['post-punk', 'darkwave', 'cold wave']
Прогноз;Molchat Doma;Этажи;2018-09-07;184894;;['post-punk', 'darkwave', 'cold wave']
Судно (Борис Рижий);Molchat Doma;Этажи;2018-09-07;141394;;['post-punk', 'darkwave', 'cold wave']
Коммерсанты;Molchat Doma;Этажи;2018-09-07;229183;;['post-punk', 'darkwave', 'cold wave']
Клетка;Molchat Doma;Этажи;2018-09-07;283485;;['post-punk', 'darkwave', 'cold wave']
