name;artist;album;release_date;duration_ms;popularity;genres
Easy;Luisaker;Easy;2017-05-31;163555;33;[]
Patata;Luisaker;Patata;2017-06-22;186902;16;[]
Infusión;Luisaker;Infusión;2017-08-21;158908;7;[]
Mamá;Luisaker;Mamá;2017-09-23;228292;12;[]
Os Asusta;Luisaker;Os Asusta;2017-12-13;181774;8;[]
Subsidium III;Luisaker;Subsidium III;2018-03-02;142212;11;[]
Realidad;Luisaker;Realidad;2018-03-18;215861;20;[]
International Moves;Luisaker, Akashi;International Moves;2018-03-22;159999;7;['j-rap']
22;Luisaker;22;2018-04-01;142958;20;[]
Falta;Luisaker;Falta;2019-01-06;152000;21;[]
El King;Luisaker;El King;2019-01-31;198627;10;[]
Eclipse;Luisaker;Eclipse;2019-03-11;152447;8;[]
Quédate;Luisaker;Quédate;2019-04-26;147500;33;[]
Nacer;Luisaker, Ids Beats;Nacer;2019-05-24;184186;16;[]
Cara a la pared;Luisaker;Cara a la pared;2019-06-20;150681;12;[]
Detalles;Luisaker;Detalles;2019-07-19;130285;19;[]
Wasabi;Luisaker;Wasabi;2019-07-26;157265;11;[]
Si Tu Perro;Luisaker, Ids Beats;Si Tu Perro;2019-08-23;135172;14;[]
Dicen;Luisaker;Dicen;2019-10-18;120923;24;[]
Triple;Luisaker, Trueno;Triple;2019-12-20;150872;30;['argentine trap']
Tarde;Luisaker;Tarde;2020-01-17;225885;28;[]
Nítido;Luisaker;Nítido;2020-03-13;246000;19;[]
Brumel;Luisaker;Brumel;2020-03-23;213488;12;[]
Vive;Luisaker;Vive;2020-06-05;194429;20;[]
Bien;Luisaker;Bien;2020-08-07;192061;14;[]
Sky;Luisaker;Sky;2020-08-09;186673;9;[]
Cenizas;Luisaker, Sara Socas;Cenizas;2020-09-18;169894;22;[]
Calamar;Luisaker, Ids Beats;Calamar;2020-11-29;195348;17;[]
Flotando;AMBKOR, Dirty Porko, Xavibo, Calero LDN, Blake, SWIT EME, Luisaker, Lopes;Flotando;2020-04-10;369438;0;[]
4Fun;MEMATARON, MINUS CSQ;4Fun;2020-01-14;209535;32;[]
Hereditario;Hard GZ;Kaos Nomada;2018-07-27;208050;27;[]
Piratas;Hard GZ, Ele Stress;Kaos Nomada;2018-07-27;180405;24;[]
Experimento;Hard GZ;Kaos Nomada;2018-07-27;206400;37;[]
Plomo;Hard GZ;Kaos Nomada;2018-07-27;184296;26;[]
