name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
Sola;Delaossa, Perea, Carrion GodBle$$, J.Moods;Sola;2018-05-09;242857;0;[];Sola;https://www.youtube.com/watch?v=Y5j9SbyGrNg&pp=ygUvU29sYSBEZWxhb3NzYSwgUGVyZWEsIENhcnJpb24gR29kQmxlJCQsIEouTW9vZHM%3D;True
22;Luisaker;22;2018-03-30;142959;0;[];LUISAKER - 22;https://www.youtube.com/watch?v=ESnrIGDyPkM&pp=ygULMjIgTHVpc2FrZXI%3D;True
Ese cosquilleo;Ayax y Prok, Blasfem, J Dose;Cara y cruz;2018-05-18;206533;0;['rap'];AYAX- ESE COSQUILLEO (FT J DOSE) (LETRA) (PROD. BLASFEM) #CARAYCRUZ;https://www.youtube.com/watch?v=KGavc0ie9jU&pp=ygUrRXNlIGNvc3F1aWxsZW8gQXlheCB5IFByb2ssIEJsYXNmZW0sIEogRG9zZQ%3D%3D;True
En Lo Más Oscuro;Killah Man, SWIT EME, Garolo, XEFF;En Lo Más Oscuro (feat. XEFF);2019-03-08;288426;0;['reggae', 'spanish language reggae'];EN LO MAS OSCURO - Killah Man * Swit Eme * Garolo - Prod XEFF - (VIDEOCLIP OFFICIAL);https://www.youtube.com/watch?v=uqCxJv2aKLc&pp=ygU0RW4gTG8gTcOhcyBPc2N1cm8gS2lsbGFoIE1hbiwgU1dJVCBFTUUsIEdhcm9sbywgWEVGRg%3D%3D;True
Benicàssim;Juancho Marqués, Don Patricio, InnerCut;Benicàssim;2019-08-14;199591;0;[];Juancho Marqués & Don Patricio - Benicàssim (Summer Series 2) - prod. InnerCut;https://www.youtube.com/watch?v=ZTHRWPyHxBI&pp=ygU0QmVuaWPDoHNzaW0gSnVhbmNobyBNYXJxdcOpcywgRG9uIFBhdHJpY2lvLCBJbm5lckN1dA%3D%3D;True
光 Luz;Lil Supa;SERIO;2017-02-03;284000;0;['latin hip hop'];Lil Supa' - 光 LUZ (Prod. Drama▲Theme);https://www.youtube.com/watch?v=nHjOdiMuWiY&pp=ygUQ5YWJIEx1eiBMaWwgU3VwYQ%3D%3D;True
Lento;FERNANDOCOSTA, Sceno;Lento;2019-08-23;206982;0;[];FERNANDOCOSTA - LENTO (PROD SCENO) | VIDEOCLIP;https://www.youtube.com/watch?v=G67L2lQqbos&pp=ygUaTGVudG8gRkVSTkFORE9DT1NUQSwgU2Nlbm8%3D;True
Guerrero psicodélico;Foyone, Kase.O, Sceno;Rico sin denuncia;2017-10-17;340044;0;['latin hip hop'];FOYONE - 02. GUERRERO PSICODELICO con KASE.O Prod SCENO;https://www.youtube.com/watch?v=fhhJIez3Gxo&pp=ygUrR3VlcnJlcm8gcHNpY29kw6lsaWNvIEZveW9uZSwgS2FzZS5PLCBTY2Vubw%3D%3D;True
90 Retro;Santa Salut;90 Retro;2019-06-27;123141;0;['latin hip hop'];SANTA SALUT - 90 RETRO;https://www.youtube.com/watch?v=-IYpsT9cS1k&pp=ygUUOTAgUmV0cm8gU2FudGEgU2FsdXQ%3D;True
Bala Perdida;Adala, Santa Salut;Bala Perdida;2019-06-26;165494;0;['latin hip hop'];SANTA SALUT & ADALA - BALA PERDIDA;https://www.youtube.com/watch?v=VC9stjzAqrk&pp=ygUfQmFsYSBQZXJkaWRhIEFkYWxhLCBTYW50YSBTYWx1dA%3D%3D;True
Actitud;Petit Ribery, Jay Cas;Actitud;2017-06-16;143617;36;['hyperpop'];Petit Ribery - Actitud (videoclip oficial);https://www.youtube.com/watch?v=3Ju2WsCoLxY&pp=ygUdQWN0aXR1ZCBQZXRpdCBSaWJlcnksIEpheSBDYXM%3D;True
