name;artist;album;release_date;duration_ms;popularity;genres;YouTube_Title;YouTube_URL;downloaded
"Doe Deer - 12"" Version";Crystal Castles;(II);2011-01-01;95680;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Doe Deer;https://www.youtube.com/watch?v=0ruvmkCq4es&pp=ygUmRG9lIERlZXIgLSAxMiIgVmVyc2lvbiBDcnlzdGFsIENhc3RsZXM%3D;True
Baptism;Crystal Castles;(II);2011-01-01;251440;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles 'BAPTISM' //official video;https://www.youtube.com/watch?v=vStjmYxetY0&pp=ygUXQmFwdGlzbSBDcnlzdGFsIENhc3RsZXM%3D;True
Year Of Silence;Crystal Castles;(II);2011-01-01;292080;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Year Of Silence;https://www.youtube.com/watch?v=F2as7j0mK9I&pp=ygUfWWVhciBPZiBTaWxlbmNlIENyeXN0YWwgQ2FzdGxlcw%3D%3D;True
Empathy;Crystal Castles;(II);2011-01-01;249520;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Empathy;https://www.youtube.com/watch?v=NLi2v-Gq-5A&pp=ygUXRW1wYXRoeSBDcnlzdGFsIENhc3RsZXM%3D;True
Suffocation;Crystal Castles;(II);2011-01-01;240626;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Suffocation;https://www.youtube.com/watch?v=Z0NGdLr4img&pp=ygUbU3VmZm9jYXRpb24gQ3J5c3RhbCBDYXN0bGVz;True
Violent Dreams;Crystal Castles;(II);2011-01-01;273493;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Violent Dreams;https://www.youtube.com/watch?v=esRAdBdox3E&pp=ygUeVmlvbGVudCBEcmVhbXMgQ3J5c3RhbCBDYXN0bGVz0gcJCVEJAYcqIYzv;True
Vietnam;Crystal Castles;(II);2011-01-01;306453;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Vietnam;https://www.youtube.com/watch?v=V3e90yExv38&pp=ygUXVmlldG5hbSBDcnlzdGFsIENhc3RsZXM%3D;True
Birds;Crystal Castles;(II);2011-01-01;149386;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Birds;https://www.youtube.com/watch?v=rcmalrmv6UM&pp=ygUVQmlyZHMgQ3J5c3RhbCBDYXN0bGVz;True
Pap Smear;Crystal Castles;(II);2011-01-01;221093;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Pap Smear;https://www.youtube.com/watch?v=dGsdg2YYTCY&pp=ygUZUGFwIFNtZWFyIENyeXN0YWwgQ2FzdGxlcw%3D%3D;True
Not In Love - Radio Version;Crystal Castles, Robert Smith;(II);2011-01-01;226986;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Not In Love ft. Robert Smith of The Cure;https://www.youtube.com/watch?v=32udqal_lyQ&pp=ygU5Tm90IEluIExvdmUgLSBSYWRpbyBWZXJzaW9uIENyeXN0YWwgQ2FzdGxlcywgUm9iZXJ0IFNtaXRo;True
Intimate;Crystal Castles;(II);2011-01-01;284826;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Intimate;https://www.youtube.com/watch?v=FBsEoOM3dkU&pp=ygUYSW50aW1hdGUgQ3J5c3RhbCBDYXN0bGVz;True
I Am Made Of Chalk;Crystal Castles;(II);2011-01-01;189386;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - I Am Made Of Chalk;https://www.youtube.com/watch?v=wezdatnTE-c&pp=ygUiSSBBbSBNYWRlIE9mIENoYWxrIENyeXN0YWwgQ2FzdGxlcw%3D%3D;True
Plague;Crystal Castles;(III);2012-01-01;295868;;['new rave', 'alternative dance', 'witch house', 'electroclash'];"Crystal Castles ""PLAGUE"" Official";https://www.youtube.com/watch?v=cx2lJIOTBjs&pp=ygUWUGxhZ3VlIENyeXN0YWwgQ2FzdGxlcw%3D%3D;True
Kerosene;Crystal Castles;(III);2012-01-01;192000;;['new rave', 'alternative dance', 'witch house', 'electroclash'];"Crystal Castles ""KEROSENE"" Official";https://www.youtube.com/watch?v=qR2QIJdtgiU&pp=ygUYS2Vyb3NlbmUgQ3J5c3RhbCBDYXN0bGVz;True
Wrath Of God;Crystal Castles;(III);2012-01-01;186612;;['new rave', 'alternative dance', 'witch house', 'electroclash'];"Crystal Castles ""WRATH OF GOD"" Official";https://www.youtube.com/watch?v=o6ugOBCZAVk&pp=ygUcV3JhdGggT2YgR29kIENyeXN0YWwgQ2FzdGxlcw%3D%3D;True
Affection;Crystal Castles;(III);2012-01-01;156716;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles/ AFFECTION /official video/;https://www.youtube.com/watch?v=-RqqXT44veI&pp=ygUZQWZmZWN0aW9uIENyeXN0YWwgQ2FzdGxlc9IHCQlRCQGHKiGM7w%3D%3D;True
Pale Flesh;Crystal Castles;(III);2012-01-01;178797;;['new rave', 'alternative dance', 'witch house', 'electroclash'];"Crystal Castles ""PALE FLESH"" Official";https://www.youtube.com/watch?v=SmTWi6kz3-k&pp=ygUaUGFsZSBGbGVzaCBDcnlzdGFsIENhc3RsZXM%3D;True
Sad Eyes;Crystal Castles;(III);2012-01-01;207015;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Sad Eyes;https://www.youtube.com/watch?v=JjAdfDrh8v0&pp=ygUYU2FkIEV5ZXMgQ3J5c3RhbCBDYXN0bGVz;True
Insulin;Crystal Castles;(III);2012-01-01;106819;;['new rave', 'alternative dance', 'witch house', 'electroclash'];"Crystal Castles ""INSULIN"" Official";https://www.youtube.com/watch?v=PioZ7-3OPCM&pp=ygUXSW5zdWxpbiBDcnlzdGFsIENhc3RsZXM%3D;True
Transgender;Crystal Castles;(III);2012-01-01;184764;;['new rave', 'alternative dance', 'witch house', 'electroclash'];Crystal Castles - Transgender;https://www.youtube.com/watch?v=FQStbwNCl2Y&pp=ygUbVHJhbnNnZW5kZXIgQ3J5c3RhbCBDYXN0bGVz;True
Violent Youth;Crystal Castles;(III);2012-01-01;261650;;['new rave', 'alternative dance', 'witch house', 'electroclash'];"Crystal Castles ""VIOLENT YOUTH"" Official";https://www.youtube.com/watch?v=aa04QySzh8o&pp=ygUdVmlvbGVudCBZb3V0aCBDcnlzdGFsIENhc3RsZXM%3D;True
Telepath;Crystal Castles;(III);2012-01-01;234513;;['new rave', 'alternative dance', 'witch house', 'electroclash'];"Crystal Castles ""TELEPATH"" Official";https://www.youtube.com/watch?v=05F8PJMqalw&pp=ygUYVGVsZXBhdGggQ3J5c3RhbCBDYXN0bGVz;True
Mercenary;Crystal Castles;(III);2012-01-01;158480;;['new rave', 'alternative dance', 'witch house', 'electroclash'];"Crystal Castles ""MERCENARY"" Official";https://www.youtube.com/watch?v=IffPAJC9G9Q&pp=ygUZTWVyY2VuYXJ5IENyeXN0YWwgQ2FzdGxlcw%3D%3D;True
Child I Will Hurt You;Crystal Castles;(III);2012-01-01;212997;;['new rave', 'alternative dance', 'witch house', 'electroclash'];"Crystal Castles ""CHILD I WILL HURT YOU"" Official";https://www.youtube.com/watch?v=NBaM8eutHOg&pp=ygUlQ2hpbGQgSSBXaWxsIEh1cnQgWW91IENyeXN0YWwgQ2FzdGxlc9IHCQlRCQGHKiGM7w%3D%3D;True
